pmid,title,abstract,journal,year,mesh_terms,url
23362497,"Effects of vitamin and mineral supplementation on stress, mild psychiatric symptoms, and mood in nonclinical samples: a meta-analysis.","OBJECTIVE: Biochemical processes in the brain affect mood. Minor dietary inadequacies, which are responsible for a small decline in an enzyme's efficiency, could cumulatively influence mood states. When diet does not provide an optimal intake of micronutrients, supplementation is expected to benefit mood. This meta-analysis evaluated the influence of diet supplementation on mood in nonclinical samples. METHODS: Databases were evaluated and studies were included if they considered aspects of stress, mild psychiatric symptoms, or mood in the general population; were randomized and placebo-controlled; evaluated the influence of multivitamin/mineral supplements for at least 28 days. Eight studies that met the inclusion criteria were integrated using meta-analysis. RESULTS: Supplementation reduced the levels of perceived stress (standard mean difference [SMD]=0.35; 95% confidence interval [CI]=0.47-0.22; p=.001), mild psychiatric symptoms (SMD=0.30; 95% CI=0.43-0.18; p=.001), and anxiety (SMD=0.32; 95% CI=0.48-0.16; p<.001), but not depression (SMD=0.20; 95% CI=0.42-0.030; p<.089). Fatigue (SMD=0.27; 95% CI=0.40-0.146; p<.001) and confusion (SMD=0.225; 95% CI=0.38-0.07; p<.003) were also reduced. CONCLUSIONS: Micronutrient supplementation has a beneficial effect on perceived stress, mild psychiatric symptoms, and aspects of everyday mood in apparently healthy individuals. Supplements containing high doses of B vitamins may be more effective in improving mood states. Questions about optimal levels of micronutrient intake, optimal doses, and active ingredients arise.",Psychosomatic medicine,2013,"Affect/*drug effects; Anxiety/prevention & control; Confusion/prevention & control; Depression/prevention & control; *Dietary Supplements; Double-Blind Method; Fatigue/prevention & control; Humans; Micronutrients/administration & dosage/pharmacology/*therapeutic use; Nutrition Policy; Placebos; Randomized Controlled Trials as Topic; Stress, Psychological/*prevention & control; Treatment Outcome",https://pubmed.ncbi.nlm.nih.gov/23362497/
10948381,The role of vitamins in the prevention and control of anaemia.,"OBJECTIVE: While iron deficiency is regarded as the major cause of nutritional anaemia, changes in vitamins A, B12, C and E, folic acid and riboflavin status have also been linked to its development and control. This paper provides a systematic review of vitamin supplementation trials relating to the control of nutritional anaemia. METHODS: A MEDLINE search was used to find reports of vitamin supplementation trials that reported changes in anaemia or iron status. RESULTS: Vitamin A can improve haematological indicators and enhance the efficacy of iron supplementation. Both folate and vitamin B12 can cure and prevent megaloblastic anaemia. Riboflavin enhances the haematological response to iron, and its deficiency may account for a significant proportion of anaemia in many populations. Vitamin C enhances the absorption of dietary iron, although population-based data showing its efficacy in reducing anaemia or iron deficiency are lacking. Vitamin E supplementation given to preterm infants has not reduced the severity of the anaemia of prematurity. Vitamin B6 effectively treats sideroblastic anaemia. Multivitamin supplementation may raise haemoglobin (Hb) concentration, but few studies have isolated the effect of multivitamins from iron on haematological status. CONCLUSIONS: In general, the public health impact of vitamin supplementation in controlling anaemia is not clear. Neither are the complex interactions involving multiple vitamins in haematopoiesis sufficiently understood to explain the observed variability in haematological responses to vitamins by age, population, vitamin mixture and dosages. Further research is needed to understand the roles of individual and combined vitamin deficiencies on anaemia to design appropriate micronutrient interventions to prevent anaemia.",Public health nutrition,2000,"Anemia/epidemiology/etiology/*prevention & control; Anemia, Iron-Deficiency/epidemiology/etiology/prevention & control; Avitaminosis/*complications/diagnosis/epidemiology; Dietary Supplements; Global Health; Hematocrit; Hemoglobins/analysis; Humans; Vitamins/physiology/*therapeutic use",https://pubmed.ncbi.nlm.nih.gov/10948381/
40628369,The Effect of Aged Garlic Supplementation on Blood Pressure and Lipid Profile: A Dose-Response Grade-Assessed Systematic Review and Meta-Analysis of Randomized Controlled Trials.,"Numerous clinical trials have examined the effects of aged garlic (AG) on metabolic factors, yielding inconsistent results. This systematic review and meta-analysis aimed to evaluate the impact of aged garlic on blood pressure (BP) and lipid profiles (LP). A comprehensive search was conducted across Scopus, PubMed, Medline via Ovid, ISI Web of Science, and Google Scholar until May 2024. We included clinical trials that assessed various forms of aged garlic as an intervention on systolic and diastolic blood pressure (SBP and DBP), total cholesterol (TC), triglycerides (TG), low-density lipoprotein (LDL), and high-density lipoprotein (HDL). Weighted mean differences (WMD) and 95% confidence intervals (CI) were calculated using a random-effects model. Nineteen trials were included in this analysis. AG consumption significantly reduced SBP (WMD: -2.49 mmHg; 95% CI: -4.02 to -0.95; I(2) = 29.76%) and LDL (WMD: -4.41 mg/dL; 95% CI: -8.28 to -0.54; I(2) = 55.78%). However, it did not significantly affect DBP and HDL, although the effect on TC approached significance (WMD: -4.74 mg/dL; 95% CI: -9.49 to 0.01; I(2) = 74.84%). Subgroup analyses indicated that AG significantly affected SBP and TG in participants with cardiovascular diseases (CVDs), while it also considerably impacted DBP in patients with hypercholesterolemia. Aged garlic may be a beneficial complementary approach for reducing BP and lipid levels in specific populations. Further high-quality trials are needed to confirm these findings.",Phytotherapy research : PTR,2025,*Garlic/chemistry; Humans; *Blood Pressure/drug effects; Randomized Controlled Trials as Topic; *Dietary Supplements; *Lipids/blood; Cholesterol/blood,https://pubmed.ncbi.nlm.nih.gov/40628369/
33477352,Reporting of Perinatal Outcomes in Probiotic Randomized Controlled Trials. A Systematic Review and Meta-Analysis.,"The use of probiotic microorganisms in clinical practice has increased in recent years and a significant number of pregnant women are regular consumers of these products. However, probiotics might modulate the immune system, and whether or not this modulation is beneficial for perinatal outcomes is unclear. We performed a systematic review and meta-analysis to evaluate the reporting of perinatal outcomes in randomized controlled trials including women supplemented with probiotic microorganisms during pregnancy. We also analyzed the effects that the administration of probiotic microorganisms exerts on perinatal outcomes. In the review, 46 papers were included and 25 were meta-analyzed. Reporting of perinatal outcomes was highly inconsistent across the studies. Only birth weight, cesarean section, and weeks of gestation were reported in more than 50% of the studies. Random effects meta-analysis results showed that the administration of probiotic microorganisms during pregnancy did not have any a positive or negative impact on the perinatal outcomes evaluated. Subgroup analysis results at the strain level were not significantly different from main analysis results. The administration of probiotic microorganisms does not appear to influence perinatal outcomes. Nonetheless, future probiotic studies conducted in pregnant women should report probiotic strains and perinatal outcomes in order to shed light upon probiotics' effects on pregnancy outcomes.",Nutrients,2021,"Abortion, Spontaneous/epidemiology; Bacteria/classification; Birth Weight; Cesarean Section/statistics & numerical data; Dietary Supplements; Female; Gestational Age; Humans; Pregnancy; Pregnancy Outcome/*epidemiology; Premature Birth/epidemiology; Probiotics/*administration & dosage/adverse effects/classification",https://pubmed.ncbi.nlm.nih.gov/33477352/
25601965,Is there a role for oral or intravenous ascorbate (vitamin C) in treating patients with cancer? A systematic review.,"BACKGROUND: Many cancer patients receive supplemental ascorbate (vitamin C) in the belief that it synergizes the anticancer effects of chemotherapy and reduces its toxicity. METHODS: A systematic review was performed to evaluate the antitumor effects and toxicity of ascorbate treatment. Medline (1946 to March 2014), EMBASE (1947 to March 2014), and the Cochrane central register (1993 to March 2014) were searched for randomized and observational studies. RESULTS: Of 696 identified records, 61 full-text articles were screened and 34 were included. In total, 5 randomized controlled trials (RCTs) (n = 322), 12 phase I/II trials (n = 287), 6 observational studies (n = 7,599), and 11 case reports (n = 267) were identified. Because of study heterogeneity, no meta-analyses were performed. No RCTs reported any statistically significant improvements in overall or progression-free survival or reduced toxicity with ascorbate relative to control arm. Evidence for ascorbate's antitumor effects was limited to case reports and observational and uncontrolled studies. CONCLUSION: There is no high-quality evidence to suggest that ascorbate supplementation in cancer patients either enhances the antitumor effects of chemotherapy or reduces its toxicity. Given the high financial and time costs to patients of this treatment, high-quality placebo-controlled trials are needed.",The oncologist,2015,Ascorbic Acid/*administration & dosage; *Dietary Supplements; Disease-Free Survival; Humans; Neoplasms/*diet therapy/pathology; Randomized Controlled Trials as Topic,https://pubmed.ncbi.nlm.nih.gov/25601965/
24130243,Effects of daily iron supplementation in primary-school-aged children: systematic review and meta-analysis of randomized controlled trials.,"BACKGROUND: Anemia is an important public health and clinical problem. Observational studies have linked iron deficiency and anemia in children with many poor outcomes, including impaired cognitive development; however, iron supplementation, a widely used preventive and therapeutic strategy, is associated with adverse effects. Primary-school-aged children are at a critical stage in intellectual development, and optimization of their cognitive performance could have long-lasting individual and population benefits. In this study, we summarize the evidence for the benefits and safety of daily iron supplementation in primary-school-aged children. METHODS: We searched electronic databases (including MEDLINE and Embase) and other sources (July 2013) for randomized and quasi-randomized controlled trials involving daily iron supplementation in children aged 5-12 years. We combined the data using random effects meta-analysis. RESULTS: We identified 16 501 studies; of these, we evaluated 76 full-text papers and included 32 studies including 7089 children. Of the included studies, 31 were conducted in low- or middle-income settings. Iron supplementation improved global cognitive scores (standardized mean difference 0.50, 95% confidence interval [CI] 0.11 to 0.90, p = 0.01), intelligence quotient among anemic children (mean difference 4.55, 95% CI 0.16 to 8.94, p = 0.04) and measures of attention and concentration. Iron supplementation also improved age-adjusted height among all children and age-adjusted weight among anemic children. Iron supplementation reduced the risk of anemia by 50% and the risk of iron deficiency by 79%. Adherence in the trial settings was generally high. Safety data were limited. INTERPRETATION: Our analysis suggests that iron supplementation safely improves hematologic and nonhematologic outcomes among primary-school-aged children in low- or middle-income settings and is well-tolerated.",CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,2013,"Anemia, Iron-Deficiency/*drug therapy; Child; Child Development/*drug effects; *Dietary Supplements; Drug Administration Schedule; Humans; Iron/*administration & dosage; *Schools",https://pubmed.ncbi.nlm.nih.gov/24130243/
26283217,Enteral glutamine supplementation in critically ill patients: a systematic review and meta-analysis.,"INTRODUCTION: Glutamine (GLN) has been suggested to have a beneficial influence on outcomes of critically ill patients. However, recent large-scale trials have suggested harm associated with GLN supplementation. Recently, systematic reviews on the use of parenteral GLN have been published; however, less information is available on the role of enteral GLN. Therefore, the aim of this systematic review was to study the effects of enteral GLN supplementation in patients with critical illness. METHODS: We identified randomized controlled trials conducted from 1980 to 2014 with enterally administered GLN in adult critically ill patients. Studies of parenteral GLN only or combined enteral-parenteral GLN were excluded. The methodological quality of studies was scored, and trial data were statistically combined. We examined a priori the treatment effects in subgroups of trials of burn and trauma patients. RESULTS: A total of 11 studies involving 1079 adult critically ill patients and enteral GLN supplementation were identified. Enteral GLN supplementation was not associated with a reduction of hospital mortality (risk ratio [RR] 0.94, 95% confidence interval [CI] 0.65-1.36; p = 0.74), infectious complications (RR 0.93, 95% CI 0.79-1.10; p = 0.39) or stay in the intensive care unit (weighted mean difference [WMD] -1.36 days, 95% CI -5.51 to 2.78; p = 0.52). However, there was a significant reduction in hospital stay (WMD 4.73 days, 95% CI -8.53 to -0.90; p = 0.02). In the subset of studies of patients with burns, enteral GLN supplementation was associated with significant reductions in hospital mortality (RR 0.19, 95% 0.06-0.67; p = 0.010) and hospital stay (WMD -9.16, 95% CI -15.06 to -3.26; p = 0.002). There was no effect in trauma patients. CONCLUSIONS: Enteral GLN supplementation does not confer significant clinical benefit in critically ill patients, with the exception of reduced hospital stay. There may be a significant benefit in patients with burns, but data are sparse and larger randomized trials are warranted to confirm this effect.","Critical care (London, England)",2015,Adult; Critical Illness/mortality/*therapy; Dietary Supplements; Enteral Nutrition/*methods; Glutamine/administration & dosage/*therapeutic use; Humans; Length of Stay/statistics & numerical data,https://pubmed.ncbi.nlm.nih.gov/26283217/
19839053,Maternal folate and other vitamin supplementation during pregnancy and risk of acute lymphoblastic leukemia in the offspring.,"The Australian Study of Causes of Acute Lymphoblastic Leukemia in Children (Aus-ALL) was designed to test the hypothesis, raised by a previous Western Australian study, that maternal folic acid supplementation during pregnancy might reduce the risk of childhood acute lymphoblastic leukemia (ALL). Aus-ALL was a national, population-based, multicenter case-control study that prospectively recruited 416 cases and 1,361 controls between 2003 and 2007. Detailed information was collected about maternal use of folic acid and other vitamin supplements before and during the index pregnancy. Data were analyzed using logistic regression, adjusting for matching factors and potential confounders. A meta-analysis with the results of previous studies of folic acid supplementation was also conducted. We found weak evidence of a protective effect of maternal folate supplementation before pregnancy against risk of childhood ALL, but no evidence for a protective effect of its use during pregnancy. A meta-analysis including this and 2 other studies, but not the study that raised the hypothesis, also found little evidence that folate supplementation during pregnancy protects against ALL: the summary odds ratios (ORs) for folate supplementation were 1.06 [95% confidence interval (CI): 0.77-1.48] with reference to no folate supplementation and 1.02 (95% CI: 0.86-1.20) with reference to no vitamin supplementation. For vitamin supplementation in general, the summary OR from a meta-analysis of 5 studies-including Aus-ALL-was 0.83 (95% CI: 0.73-0.94). Vitamin supplementation in pregnancy may protect against childhood ALL, but this effect is unlikely to be large or, if real, specifically due to folate.",International journal of cancer,2010,"Adolescent; Birth Order; Case-Control Studies; Child; Child, Preschool; Dietary Supplements/*adverse effects; Educational Status; Female; Humans; Infant; Male; *Maternal-Fetal Exchange; Precursor Cell Lymphoblastic Leukemia-Lymphoma/*epidemiology; Pregnancy; Risk Factors",https://pubmed.ncbi.nlm.nih.gov/19839053/
23364006,The effect of maternal omega-3 (n-3) LCPUFA supplementation during pregnancy on early childhood cognitive and visual development: a systematic review and meta-analysis of randomized controlled trials.,"BACKGROUND: Maternal fish consumption during pregnancy has been positively associated with cognitive and visual abilities in the offspring, leading to the hypothesis that maternal omega-3 (n-3) long-chain PUFA (LCPUFA) supplementation improves children's neurologic and visual development. OBJECTIVE: The objective was to evaluate the effect of maternal omega-3 LCPUFA supplementation in pregnancy on neurologic and visual development in the offspring. DESIGN: Five electronic databases were searched. Human randomized controlled trials that supplemented the maternal diet with omega-3 LCPUFAs during pregnancy, or pregnancy and lactation, and that assessed either neurologic or visual development of the offspring were included. Trial quality was assessed, and the results of eligible trials were compared in meta-analyses. RESULTS: Eleven RCTs involving 5272 participants were included in the review. Most trials had methodologic limitations. No differences in standardized psychometric test scores for cognitive, language, or motor development were observed between the LCPUFA-supplemented and control groups, except for cognitive scores in 2-5-y-old children, in whom supplementation resulted in higher Developmental Standard Scores (mean difference: 3.92; 95% CI: 0.77, 7.08; n = 156; P = 0.01). However, this effect was from 2 trials with a high risk of bias. Because of the variety of visual assessments and age ranges, it was not possible to combine studies with visual outcomes in a meta-analysis, although 6 of the 8 assessments in 5 trials reported no difference between the supplemented and control groups. CONCLUSION: The evidence does not conclusively support or refute that omega-3 LCPUFA supplementation in pregnancy improves cognitive or visual development.",The American journal of clinical nutrition,2013,"Cognition/*drug effects; *Dietary Supplements; Fatty Acids, Omega-3/*administration & dosage; Female; Humans; Infant; *Infant Nutritional Physiological Phenomena; *Maternal Nutritional Physiological Phenomena; Pregnancy; Randomized Controlled Trials as Topic; Treatment Outcome; Visual Acuity/*drug effects",https://pubmed.ncbi.nlm.nih.gov/23364006/
40613540,Effects of Plant-Derived Dietary Supplements on Lipid Profiles in Menopausal Women: An Updated Systematic Review and Meta-Analysis of Randomized Placebo-Controlled Trials.,"A Comprehensive evaluation of plant-derived supplements for hypolipidemic effects in menopausal women requires robust clinical trials and integrated analysis of diverse research findings. To address this, we conducted a systematic review and meta - analysis to evaluate the effects of plant-derived supplements on lipid profiles in menopausal women. Relevant studies were identified through systematic searches in MEDLINE, Embase, Web of Science, and CENTRAL until June 2022. Randomized controlled trials assessing the effects of plant-derived supplements on lipid profiles in menopausal women were included. A total of 61 studies were reviewed, and 60 studies with 6127 participants were included in the meta-analysis. Study quality was evaluated using the Cochrane Risk of Bias tool, and pooled data were analyzed with a random effects model for meta-analysis. The analysis revealed significant reductions in total cholesterol (SMD = -0.17, 95% CI: -0.26 to -0.08), triglycerides (SMD = -0.16, 95% CI: -0.26 to -0.05), and LDL-cholesterol (SMD = -0.19, 95% CI: -0.27 to -0.10). Subgroup analysis revealed that phytoestrogens, particularly from soy, were especially effective. Favorable outcomes were also observed in postmenopausal women with amenorrhea for over 1 year and in interventions lasting 3-12 months. However, variations in supplement formulations and insufficient dosage-specific data limited the findings. Further clinical research on plant-derived supplements should be accumulated to clarify their effects. Despite these limitations, this review provides updated evidence and highlights promising materials for improving blood lipid profiles. It also offers insights into optimizing clinical trial designs for dietary supplements, paving the way for more targeted and effective interventions. The study protocol (CRD42022383752) was registered in the PROSPERO database.",Phytotherapy research : PTR,2025,"Humans; *Dietary Supplements; Female; Randomized Controlled Trials as Topic; *Menopause/blood; *Lipids/blood; Middle Aged; Triglycerides/blood; Cholesterol, LDL/blood",https://pubmed.ncbi.nlm.nih.gov/40613540/
39529406,The Effect of Spirulina Supplementation on Blood Pressure in Adults: A GRADE-Assessed Systematic Review and Meta-Analysis of Randomized Clinical Trials.,"Previous studies have yielded controversial results regarding the effect of spirulina on blood pressure (BP), which need updating. So, this updated systematic review and meta-analysis of randomized controlled trials (RCTs) carry out a more accurate estimation of the effect of spirulina on BP in adults. This systematic searches (in PubMed/Medline, Scopus, and ISI Web of Science) until April 1, 2024, to identify related RCTs based on PICOS guidelines (population (individuals > 18 years old), the intervention (spirulina), the comparison (control or placebo group), the outcomes (systolic BP (SBP) and diastolic BP (DBP)), the study design (RCTs)), and PRISMA-checklist (Supporting Information, data S2). We evaluated the impact of spirulina on DBP and SBP. Conventional procedures were employed for analyzing publication bias, heterogeneity, and sensitivity. The GRADE criteria and the Cochrane assessment method were employed to evaluate the risk of bias (ROB) and certainty of evidence across the studies, respectively. The result shows spirulina consumption decreases SBP (WMD: -4.41 mmHg, 95% CI: -6.74 to -2.07, I (2) = 66.1%) and DBP (WMD: -2.84 mmHg, 95% CI: -4.65 to -1.03, I (2) = 62.3%). Subgroup analysis demonstrated SBP and DBP were still lower in individuals with >/= 120 and >/= 80 mmHg, hypertension (HTN) individuals, overweight individuals, age > 50 years, and > 8 weeks of intervention. Indeed, we do not observe publication bias, ROB, or interference studies in the overall results of BPs, and based on GRADE, our outcomes have moderate quality. Because of the low number of studies and participants, the dose-response and meta-regression are not significant. His study demonstrated spirulina intervention decreased SBP and DBP in HTN and overweight individuals, age > 50 years, and > 8 weeks of intervention. So, spirulina intake decreases BP and could be used in clinical practice. Furthermore, more and high-quality RCTs are needed to establish the clinical efficacy of the spirulina and determine cutoff spirulina interventions based on dose and duration. Trial Registration: PROSPERO: CRD42024534608.",Phytotherapy research : PTR,2025,*Spirulina; Humans; *Blood Pressure/drug effects; Randomized Controlled Trials as Topic; *Dietary Supplements; Adult; Hypertension/drug therapy,https://pubmed.ncbi.nlm.nih.gov/39529406/
30544198,"Effect of nonmeat, high-protein supplementation on quality of life and clinical outcomes in older residents of care homes: a systematic review and meta-analysis.","CONTEXT: Care home residents are at risk of malnutrition owing to reduced food intake, anabolic resistance in aging muscle, and a high prevalence of medical morbidity and functional dependency. There has been limited consensus regarding the effectiveness of a high-protein diet on quality of life or clinical outcomes in care home residents. OBJECTIVE: The aim of this review was to evaluate the effectiveness of nonmeat, high-protein supplementation on health-related quality of life (HRQOL) and relevant clinical and nutritional outcomes in older people in a care home setting. DATA SOURCES: The following databases were searched (to February 2018) for randomized controlled trials: Embase, AMED, CINAHL, MEDLINE, the Cochrane Central Registry of Controlled Trials, OpenGrey, clinicaltrials.gov, the WHO International Clinical Trials Registry Platform, the ISRCTN registry, and the NIHR Clinical Research Network Portfolio. STUDY SELECTION: Trials were selected if they assessed a nonmeat, high-protein dietary intervention provided to care home residents who were aged 65 years or older. DATA EXTRACTION: Data from included trials were extracted if they assessed care home residents aged 65 years or older and compared those residents who received protein supplementation with those who did not. Trial quality was assessed using the Cochrane risk-of-bias tool. Meta-analysis was undertaken when appropriate. RESULTS: Seventeen studies with 1246 participants fulfilled the inclusion criteria. All studies were of low or moderate quality. There was no evidence of improved HRQOL when the Short Form 36 (SF-36) was used to assess outcomes (standardized mean difference [SMD] = -0.10; 95%CI, -0.51 to 0.31; P = 0.62), although significant improvement was seen in the 1 trial that used the EQ-5D instrument (SMD = 2.58; 95%CI, 2.05-3.10; P < 0.00001). CONCLUSIONS: Nonmeat, high-protein oral supplements can improve markers of nutritional status in care home residents. However, there is insufficient high-quality evidence to determine the effect of such supplements on HRQOL in older adults in care homes. SYSTEMATIC REVIEW REGISTRATION: PROSPERO registration number: CRD42015029313.",Nutrition reviews,2019,Aged; Dietary Proteins/*administration & dosage; *Dietary Supplements; Humans; Nutritional Status; Quality of Life; Randomized Controlled Trials as Topic; Residential Facilities,https://pubmed.ncbi.nlm.nih.gov/30544198/
32721215,Evidence from systematic reviews of randomized trials on enteral lactoferrin supplementation in preterm neonates.,"In this commentary, we summarize the current evidence from randomized controlled trials on enteral lactoferrin supplementation in preterm neonates. Our recently completed systematic review includes 12 randomized controlled trials performed all over the world. Our meta-analysis suggests clinical benefit in decreasing late-onset sepsis, late-onset fungal sepsis, length of stay in the hospital and urinary tract infections. There were no adverse effects. There was no statistically significant decrease in necrotizing enterocolitis, mortality or neurodevelopmental impairment in lactoferrin supplemented preterm infants. There was significant statistical heterogeneity in the effects of lactoferrin on late-onset sepsis between larger and smaller studies, which may reflect either small study biases, differences in the effectiveness, dose or duration of supplemental lactoferrin products, or differences in underlying population risk, or any or all of these.",Biochemistry and cell biology = Biochimie et biologie cellulaire,2021,"Dietary Supplements; *Enteral Nutrition; Humans; Infant, Newborn; Infant, Premature; Lactoferrin/*administration & dosage; Randomized Controlled Trials as Topic; Sepsis/*prevention & control; Urinary Tract Infections/*prevention & control",https://pubmed.ncbi.nlm.nih.gov/32721215/
33066847,Blueberry and cardiovascular disease risk factors: A systematic review and meta-analysis of randomized controlled trials.,"BACKGROUND AND AIMS: Cardiovascular disease (CVD) remains an important cause of mortality and morbidity that can be prevented by the consumption of healthy foods. These include blueberry, a dark coloured berry containing extremely high amounts of functional ingredients. We therefore examined the extent to which supplementation with blueberry effects on CVD risk indices. METHODS: We searched the ISI Web of Science, Scopus, PubMed and Cochrane Library on March 2020 and checked reference lists from primary studies and review articles for any additional studies. No language restrictions were applied. All randomized and controlled clinical trials (RCTs) using blueberry supplements to modify CVD risk factors were included in our analysis. RESULTS: Mean Difference (MD) was pooled using a random effects model and 11 studies were included in the final analysis. Pooled effect size showed that supplementation with blueberry had a small insignificant effect in reducing plasma triglycerides (MD = -0.27 mmol/l; 95 % CI: -0.57, 0.17, p = 0.06). Although current study found no differences between blueberry and control groups for any other outcomes, subgroup analysis suggested a favourable impact of blueberry on reducing body weight. Significant weight loss was indicated from studies longer with a follow up of more than 6 weeks or with blueberry powder or freeze-dried blueberry. CONCLUSION: Current evidence is insufficient to show a benefit of blueberry supplements in modifying CVD risk factors across a variety of adult populations. Robust data and larger studies are required to assess potential effects.",Complementary therapies in medicine,2020,*Blueberry Plants; Body Weights and Measures; C-Reactive Protein/metabolism; *Dietary Supplements; Glycemic Index; *Heart Disease Risk Factors; Humans; Lipids/blood; Randomized Controlled Trials as Topic; Tumor Necrosis Factor-alpha/metabolism,https://pubmed.ncbi.nlm.nih.gov/33066847/
38879003,Clinical improvement effect of regulating gut microbiota on metabolic dysfunction-associated steatotic liver disease: Systematic review and meta-analysis of randomized controlled trials.,"BACKGROUND: Metabolic dysfunction-associated steatotic liver disease (MASLD) is constantly rising globally. There are barely any effective medications or supplements for the management of MASLD. We aim to systematically evaluate the most current evidence for gut microbiota-regulating supplements in patients with MASLD. METHODS: We searched multiple electronic data for randomized controlled trials (RCTs) published from January 1, 2012, to July 15, 2023. The intervention measures included probiotics, prebiotics, synbiotics, antibiotics, and fecal microbiota transplantation (FMT). The control group was treated with a placebo or usual care. The intervention duration was divided into two periods (>12 weeks and </=12 weeks). Adequate evaluation data for antibiotics and FMT have not been obtained. Therefore, the other three microbiota regulators are the primary evaluation measures in this study. RESULTS: We found that probiotics alone could not improve clinical indicators in MASLD patients. However, synbiotics exhibited an improvement in reducing liver steatosis, TNF-a levels, and increasing HDL-c levels, and the inflammatory markers of liver cells (ALT and AST) were also improved. For the effective intervention duration, this systematic review suggested that around 12 weeks is an ideal intervention cycle for MASLD patients. CONCLUSIONS: This meta-analysis supported the modulation of gut microbiota with synbiotics in the management of MASLD.",Clinics and research in hepatology and gastroenterology,2024,Humans; Anti-Bacterial Agents/administration & dosage; *Fatty Liver/therapy; *Fecal Microbiota Transplantation; *Gastrointestinal Microbiome/physiology; *Prebiotics/administration & dosage; *Probiotics/administration & dosage; Randomized Controlled Trials as Topic; *Synbiotics/administration & dosage,https://pubmed.ncbi.nlm.nih.gov/38879003/
35195052,B-vitamin supplementation on mitigating post-stroke cognition and neuropsychiatric sequelae: A randomized controlled trial.,"BACKGROUND AND PURPOSE: A third of stroke patients suffer from post-stroke cognitive decline, depressive symptoms, and anxiety symptoms. B-vitamin supplementation provides a possible safe and affordable treatment to mitigate post-stroke neuropsychiatric sequelae via reducing homocysteine levels. Our study aims to examine the effect of B-vitamin supplementation in the prevention of post-stroke cognitive decline, depressive symptoms, and anxiety symptoms. Our secondary aims were to investigate associations between baseline factors and the three outcomes. METHODS: Patients were recruited as part of a Singaporean substudy of a randomized controlled trial that examined the effect of B-vitamin supplementation on recurrent cardiovascular events. Cognitive decline, depressive symptoms, and anxiety symptoms were assessed with neuropsychological assessments and Hospital Anxiety and Depression Scale 6 monthly. Cox regression analyses were performed to determine treatment efficacy. Logistic regression used to examine factors associated with cognitive decline, depressive symptoms, and anxiety symptoms. RESULTS: A total of 707 were included in the analyses. Survival and hazards ratio analysis showed no treatment effect of B-vitamins on cognitive decline, depressive symptoms, and anxiety symptoms. Cognitive decline was only associated with age. Depressive symptoms were associated with large anterior cerebral infarcts and hyperlipidemia. CONCLUSIONS: Our study showed no benefit of supplementation with B-vitamins for post-stroke cognitive decline, depressive symptoms, or anxiety symptoms. Depressive symptoms were associated with larger anterior cerebral infarcts, which may be reflective of the disability associated with larger infarcts.",International journal of stroke : official journal of the International Stroke Society,2023,Humans; *Vitamin B Complex/therapeutic use/pharmacology; *Cognition Disorders/prevention & control; *Stroke/complications; Cognition; Dietary Supplements; Cerebral Infarction,https://pubmed.ncbi.nlm.nih.gov/35195052/
33053149,"Selenium, antioxidants, cardiovascular disease, and all-cause mortality: a systematic review and meta-analysis of randomized controlled trials.","BACKGROUND: Antioxidants have been promoted for cardiovascular disease (CVD) risk reduction and for the prevention of cancer. Our preliminary analysis suggested that only when selenium was present were antioxidant mixtures associated with reduced all-cause mortality. OBJECTIVE: We conducted a systematic review and meta-analysis of randomized controlled trials (RCTs) to determine the effect of selenium supplementation alone and of antioxidant mixtures with or without selenium on the risk of CVD, cancer, and mortality. METHODS: We identified studies using the Cochrane Library, Medline, and Embase for potential CVD outcomes, cancer, and all-cause mortality following selenium supplementation alone or after antioxidant supplement mixtures with and without selenium up to June 5, 2020. RCTs of >/=24 wk were included and data were analyzed using random-effects models and classified by the Grading of Recommendations, Assessment, Development, and Evaluation approach. RESULTS: The meta-analysis identified 9423 studies, of which 43 were used in the final analysis. Overall, no association of selenium alone or antioxidants was seen with CVD and all-cause mortality. However, a decreased risk with antioxidant mixtures was seen for CVD mortality when selenium was part of the mix (RR: 0.77; 95% CI: 0.62, 0.97; P = 0.02), with no association when selenium was absent. Similarly, when selenium was part of the antioxidant mixture, a decreased risk was seen for all-cause mortality (RR: 0.90; 95% CI: 0.82, 0.98; P = 0.02) as opposed to an increased risk when selenium was absent (RR: 1.09; 95% CI: 1.04, 1.13; P = 0.0002). CONCLUSION: The addition of selenium should be considered for supplements containing antioxidant mixtures if they are to be associated with CVD and all-cause mortality risk reduction. This trial was registered at https://www.crd.york.ac.uk/PROSPERO/ as CRD42019138268.",The American journal of clinical nutrition,2020,Antioxidants/*administration & dosage/pharmacology; Cardiovascular Diseases/*mortality/*prevention & control; Dietary Supplements; Humans; Randomized Controlled Trials as Topic; Selenium/*administration & dosage/pharmacology,https://pubmed.ncbi.nlm.nih.gov/33053149/
